2020-04-28 12:04:621 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:771 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (0b6fe6975c0e1b43891968a6cc376548)] -> link text: Log in]
2020-04-28 12:04:86 INFO  LoginPage :50 - Getting welcome text : [[ChromeDriver: chrome on WINDOWS (0b6fe6975c0e1b43891968a6cc376548)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:235 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:91 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (b43074f3391d12560b063ffb42b02d2b)] -> link text: Log in]
2020-04-28 12:04:655 INFO  LoginPage :50 - Getting welcome text : [[ChromeDriver: chrome on WINDOWS (b43074f3391d12560b063ffb42b02d2b)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:342 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:207 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (01ad3f9f287fdcea7047853e82ca1a5f)] -> link text: Log in]
2020-04-28 12:04:364 INFO  LoginPage :33 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (01ad3f9f287fdcea7047853e82ca1a5f)] -> id: Email]
2020-04-28 12:04:450 INFO  LoginPage :39 - Entering password :Tajmahal06 in the password field : [[ChromeDriver: chrome on WINDOWS (01ad3f9f287fdcea7047853e82ca1a5f)] -> id: Password]
2020-04-28 12:04:523 INFO  LoginPage :45 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (01ad3f9f287fdcea7047853e82ca1a5f)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:397 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:272 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (c72b4f5d16999dfe00b9809352c41b98)] -> link text: Log in]
2020-04-28 12:04:482 INFO  LoginPage :53 - Getting welcome text : [[ChromeDriver: chrome on WINDOWS (c72b4f5d16999dfe00b9809352c41b98)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:186 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:36 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (dbc44c9c64da0767b6362b0942f8445a)] -> link text: Log in]
2020-04-28 12:04:239 INFO  LoginPage :36 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (dbc44c9c64da0767b6362b0942f8445a)] -> id: Email]
2020-04-28 12:04:321 INFO  LoginPage :42 - Entering password :Tajmahal06 in the password field : [[ChromeDriver: chrome on WINDOWS (dbc44c9c64da0767b6362b0942f8445a)] -> id: Password]
2020-04-28 12:04:382 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (dbc44c9c64da0767b6362b0942f8445a)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:33 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:817 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (abce2e624ce7d88fcf2acdf57264bff2)] -> link text: Log in]
2020-04-28 12:04:42 INFO  LoginPage :36 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (abce2e624ce7d88fcf2acdf57264bff2)] -> id: Email]
2020-04-28 12:04:119 INFO  LoginPage :42 - Entering password :Tajmahal066 in the password field : [[ChromeDriver: chrome on WINDOWS (abce2e624ce7d88fcf2acdf57264bff2)] -> id: Password]
2020-04-28 12:04:201 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (abce2e624ce7d88fcf2acdf57264bff2)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:262 INFO  LoginPage :59 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2020-04-28 12:04:451 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:530 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (1df81bcfb1d551b3a02c84871cbf02ef)] -> link text: Log in]
2020-04-28 12:04:727 INFO  LoginPage :53 - Getting welcome text : [[ChromeDriver: chrome on WINDOWS (1df81bcfb1d551b3a02c84871cbf02ef)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:410 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:363 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (a2fcf2748332df59e5ba4d66e4ba935c)] -> link text: Log in]
2020-04-28 12:04:626 INFO  LoginPage :36 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (a2fcf2748332df59e5ba4d66e4ba935c)] -> id: Email]
2020-04-28 12:04:701 INFO  LoginPage :42 - Entering password :Tajmahal06 in the password field : [[ChromeDriver: chrome on WINDOWS (a2fcf2748332df59e5ba4d66e4ba935c)] -> id: Password]
2020-04-28 12:04:777 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (a2fcf2748332df59e5ba4d66e4ba935c)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:440 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:388 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (ce47e3f70ef694007c20c753fd5b0140)] -> link text: Log in]
2020-04-28 12:04:57 INFO  LoginPage :36 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (ce47e3f70ef694007c20c753fd5b0140)] -> id: Email]
2020-04-28 12:04:133 INFO  LoginPage :42 - Entering password :Tajmahal066 in the password field : [[ChromeDriver: chrome on WINDOWS (ce47e3f70ef694007c20c753fd5b0140)] -> id: Password]
2020-04-28 12:04:219 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (ce47e3f70ef694007c20c753fd5b0140)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:290 INFO  LoginPage :59 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2020-04-28 12:04:876 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:659 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (6769fb5892624f12d909e526296c9ae3)] -> link text: Log in]
2020-04-28 12:04:835 INFO  LoginPage :53 - Getting welcome text : [[ChromeDriver: chrome on WINDOWS (6769fb5892624f12d909e526296c9ae3)] -> xpath: //div[@class='page-title']//h1]
2020-04-28 12:04:531 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:479 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (9496fab7b4b0ba228b4ec19e9432a736)] -> link text: Log in]
2020-04-28 12:04:724 INFO  LoginPage :36 - Entering emailId : abc@yahoomail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (9496fab7b4b0ba228b4ec19e9432a736)] -> id: Email]
2020-04-28 12:04:799 INFO  LoginPage :42 - Entering password :Tajmahal06 in the password field : [[ChromeDriver: chrome on WINDOWS (9496fab7b4b0ba228b4ec19e9432a736)] -> id: Password]
2020-04-28 12:04:873 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (9496fab7b4b0ba228b4ec19e9432a736)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:503 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:246 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (3ddc8a36d65dddd58c0eb6776a782501)] -> link text: Log in]
2020-04-28 12:04:481 INFO  LoginPage :36 - Entering emailId : abcd1234@gmail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (3ddc8a36d65dddd58c0eb6776a782501)] -> id: Email]
2020-04-28 12:04:549 INFO  LoginPage :42 - Entering password :xyz1234 in the password field : [[ChromeDriver: chrome on WINDOWS (3ddc8a36d65dddd58c0eb6776a782501)] -> id: Password]
2020-04-28 12:04:618 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (3ddc8a36d65dddd58c0eb6776a782501)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:671 INFO  LoginPage :59 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2020-04-28 12:04:712 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:366 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (0e8455c177cb52445091d9ece087a6a7)] -> link text: Log in]
2020-04-28 12:04:527 INFO  LoginPage :36 - Entering emailId : abcd1235@gmail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (0e8455c177cb52445091d9ece087a6a7)] -> id: Email]
2020-04-28 12:04:597 INFO  LoginPage :42 - Entering password :xyz1235 in the password field : [[ChromeDriver: chrome on WINDOWS (0e8455c177cb52445091d9ece087a6a7)] -> id: Password]
2020-04-28 12:04:679 INFO  LoginPage :48 - Clicking on login Button : [[ChromeDriver: chrome on WINDOWS (0e8455c177cb52445091d9ece087a6a7)] -> xpath: //input[@class='button-1 login-button']]
2020-04-28 12:04:780 INFO  LoginPage :59 - Getting error message : Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2020-04-28 12:04:832 INFO  BrowserSelector :27 - Launching Chrome Browser
2020-04-28 12:04:584 INFO  HomePage :33 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (d5c5262e4802cbc46118bfad20232c16)] -> link text: Log in]
2020-04-28 12:04:869 INFO  LoginPage :36 - Entering emailId : abcd1236@gmail.com in the emailfield : [[ChromeDriver: chrome on WINDOWS (d5c5262e4802cbc46118bfad20232c16)] -> id: Email]
